expr,min,lq,mean,median,uq,max,neval,cpu,os,date,blas,lapack
Matrix calculation,2.832691435,2.83637959,2.972347439,2.838059114,3.072770051,3.281837005,5,Apple M1 Pro,macOS Monterey 12.0.1,26/11/2021,,
Matrix functions,2.450150529,2.525680155,2.534748273,2.554991055,2.565094111,2.577825513,5,Apple M1 Pro,macOS Monterey 12.0.1,26/11/2021,,
Programming,2.4257076,2.428431271,2.607461051,2.52763032,2.541094679,3.114441385,5,Apple M1 Pro,macOS Monterey 12.0.1,26/11/2021,,
Stan compile,6.013781231,6.146849109,6.321063562,6.286810686,6.531609386,6.626267398,5,Apple M1 Pro,macOS Monterey 12.0.1,26/11/2021,,
Stan sample,14.30352133,14.64837914,14.86617859,14.88665117,15.10584951,15.38649181,5,Apple M1 Pro,macOS Monterey 12.0.1,26/11/2021,,
Matrix calculation,3.519973819,3.564607999,3.597433396,3.60924218,3.636163185,3.663084189,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,26/11/2021,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Matrix functions,3.334229819,3.432074089,3.529624472,3.529918358,3.627321799,3.724725239,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,26/11/2021,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Programming,3.3778267,3.422091419,3.480921403,3.466356137,3.532468755,3.598581372,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,26/11/2021,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Stan compile,9.119465579,9.124597512,9.156532232,9.129729445,9.175065558,9.220401671,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,26/11/2021,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Stan sample,12.89335685,13.13337845,13.21966684,13.37340006,13.38282183,13.39224361,3,AMD Ryzen 9 3900X 12-Core Processor,Ubuntu 20.04.3 LTS,26/11/2021,/usr/lib/x86_64-linux-gnu/openblas-pthread/libblas.so.3,/usr/lib/x86_64-linux-gnu/openblas-pthread/liblapack.so.3
Matrix calculation,5.897515251,6.088244937,6.12234246,6.133746508,6.186938459,6.305267143,5,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,macOS Monterey 12.0.1,26/11/2021,,
Matrix functions,5.961620308,6.089082851,6.206249616,6.128402124,6.182563419,6.669579376,5,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,macOS Monterey 12.0.1,26/11/2021,,
Programming,5.357964977,5.371807494,5.486093649,5.560910455,5.565962861,5.573822458,5,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,macOS Monterey 12.0.1,26/11/2021,,
Stan compile,14.64396574,14.66058064,14.70816098,14.73398925,14.74288274,14.75938652,5,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,macOS Monterey 12.0.1,26/11/2021,,
Stan sample,23.93723148,24.20361483,24.81690945,24.83082957,25.55010535,25.56276604,5,Intel(R) Core(TM) i7-7700HQ CPU @ 2.80GHz,macOS Monterey 12.0.1,26/11/2021,,
Matrix calculation,2.863079569,2.945149515,3.089193612,3.027219461,3.202250634,3.377281807,3,Apple M1 Pro,macOS Monterey 12.1,27/01/2022,,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/lib/libRlapack.dylib
Matrix functions,2.359068537,2.40722439,2.44061289,2.455380243,2.481385067,2.507389891,3,Apple M1 Pro,macOS Monterey 12.1,27/01/2022,,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/lib/libRlapack.dylib
Programming,2.214833038,2.367027252,2.481906929,2.519221466,2.615443874,2.711666282,3,Apple M1 Pro,macOS Monterey 12.1,27/01/2022,,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/lib/libRlapack.dylib
Stan compile,5.628436253,5.730668421,5.841997258,5.832900588,5.948777761,6.064654933,3,Apple M1 Pro,macOS Monterey 12.1,27/01/2022,,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/lib/libRlapack.dylib
Stan sample,14.11858714,14.44705005,14.68147066,14.77551297,14.96291242,15.15031188,3,Apple M1 Pro,macOS Monterey 12.1,27/01/2022,,/Library/Frameworks/R.framework/Versions/4.1-arm64/Resources/lib/libRlapack.dylib
